ID, time 10.00
ACALD,-15.084028
ACALDt,0.000000
ACKr,-14.742953
ACONTa,0.505613
ACONTb,0.505613
ACt2r,-14.742953
ADK1,0.000000
AKGDH,0.000000
AKGt2r,0.000000
ALCD2x,-15.084028
ATPM,8.390000
ATPS4r,-10.840774
BIOMASS_Ecoli_core_w_GAM,0.468638
CO2t,0.000000
CS,0.505613
CYTBD,0.000000
D_LACt2,0.000000
ENO,35.002713
ETOHt2r,-15.084028
EX_ac_e,14.742953
EX_acald_e,-0.000000
EX_akg_e,-0.000000
EX_co2_e,0.000000
EX_etoh_e,15.084028
EX_for_e,31.251641
EX_fru_e,-0.000000
EX_fum_e,-0.000000
EX_glc__D_e,-18.474788
EX_gln__L_e,-0.000000
EX_glu__L_e,-0.000000
EX_h_e,55.395472
EX_h2o_e,-11.670282
EX_lac__D_e,-0.000000
EX_mal__L_e,-0.000000
EX_nh4_e,-2.555389
EX_o2_e,-0.000000
EX_pi_e,-1.723978
EX_pyr_e,-0.000000
EX_succ_e,-0.000000
FBA,18.008634
FBP,0.000000
FORt2,0.000000
FORt,-31.251641
FRD7,0.000000
FRUpts2,0.000000
FUM,0.000000
FUMt2_2,0.000000
G6PDH2r,0.000000
GAPD,35.703795
GLCpts,18.474788
GLNS,0.119831
GLNabc,0.000000
GLUDy,-2.435558
GLUN,0.000000
GLUSy,0.000000
GLUt2r,0.000000
GND,0.000000
H2Ot,11.670282
ICDHyr,0.505613
ICL,0.000000
LDH_D,0.000000
MALS,0.000000
MALt2_2,0.000000
MDH,0.000000
ME1,0.000000
ME2,0.000000
NADH16,0.000000
NADTRHD,0.000000
NH4t,2.555389
O2t,0.000000
PDH,0.837315
PFK,18.008634
PFL,31.251641
PGI,18.378717
PGK,-35.703795
PGL,0.000000
PGM,-35.002713
PIt2r,1.723978
PPC,1.342929
PPCK,0.000000
PPS,0.000000
PTAr,14.742953
PYK,14.941726
PYRt2,0.000000
RPE,-0.336857
RPI,-0.336857
SUCCt2_2,0.000000
SUCCt3,0.000000
SUCDi,0.000000
SUCOAS,0.000000
TALA,-0.083839
THD2,8.035313
TKT1,-0.083839
TKT2,-0.253018
TPI,18.008634
