ID, time 8000.00
ACALD,0.000000
ACALDt,0.000000
ACKr,0.000000
ACONTa,0.000000
ACONTb,0.000000
ACt2r,0.000000
ADK1,0.000000
AKGDH,0.000000
AKGt2r,0.000000
ALCD2x,0.000000
ATPM,0.000000
ATPS4r,0.000000
BIOMASS_Ecoli_core_w_GAM,0.000000
CO2t,0.000000
CS,0.000000
CYTBD,0.000000
D_LACt2,0.000000
ENO,0.000000
ETOHt2r,0.000000
EX_ac_e,0.000000
EX_acald_e,0.000000
EX_akg_e,0.000000
EX_co2_e,0.000000
EX_etoh_e,0.000000
EX_for_e,0.000000
EX_fru_e,0.000000
EX_fum_e,0.000000
EX_glc__D_e,0.000000
EX_gln__L_e,0.000000
EX_glu__L_e,0.000000
EX_h_e,0.000000
EX_h2o_e,0.000000
EX_lac__D_e,0.000000
EX_mal__L_e,0.000000
EX_nh4_e,0.000000
EX_o2_e,0.000000
EX_pi_e,0.000000
EX_pyr_e,0.000000
EX_succ_e,0.000000
FBA,0.000000
FBP,0.000000
FORt2,0.000000
FORt,0.000000
FRD7,0.000000
FRUpts2,0.000000
FUM,0.000000
FUMt2_2,0.000000
G6PDH2r,0.000000
GAPD,0.000000
GLCpts,0.000000
GLNS,0.000000
GLNabc,0.000000
GLUDy,0.000000
GLUN,0.000000
GLUSy,0.000000
GLUt2r,0.000000
GND,0.000000
H2Ot,0.000000
ICDHyr,0.000000
ICL,0.000000
LDH_D,0.000000
MALS,0.000000
MALt2_2,0.000000
MDH,0.000000
ME1,0.000000
ME2,0.000000
NADH16,0.000000
NADTRHD,0.000000
NH4t,0.000000
O2t,0.000000
PDH,0.000000
PFK,0.000000
PFL,0.000000
PGI,0.000000
PGK,0.000000
PGL,0.000000
PGM,0.000000
PIt2r,0.000000
PPC,0.000000
PPCK,0.000000
PPS,0.000000
PTAr,0.000000
PYK,0.000000
PYRt2,0.000000
RPE,0.000000
RPI,0.000000
SUCCt2_2,0.000000
SUCCt3,0.000000
SUCDi,0.000000
SUCOAS,0.000000
TALA,0.000000
THD2,0.000000
TKT1,0.000000
TKT2,0.000000
TPI,0.000000
